pop	true_time
1_2	20.8397112064995
1_2	21.945270431228
1_2	22.6040980524849
1_2	23.3409852643963
1_2	24.1417621280998
1_2	25.5147461651359
1_2	26.8812667792663
1_2	27.9448131273966
1_2	28.5619800670538
1_2	29.3468214632012
1_2	30.2228171608876
1_2	31.8470579485875
1_2	32.3160767159425
1_2	33.0784567669034
1_2	34.0105387377553
1_2	35.3792141142767
1_2	36.9892268637195
1_2	37.0136860187631
1_2	38.1797074698843
1_2	39.4276011460461
1_2	40.9600490280427
1_2	41.4155678751413
1_2	42.5924885564018
1_2	43.7707371646538
1_2	44.469527031295
1_2	45.9534376189113
1_2	46.2144044104498
1_2	47.9358776041772
1_2	48.5116119054146
1_2	49.2214013065677
1_2	50.6886185342446
1_2	51.2141825133003
1_2	52.3289711745456
1_2	53.89023248991
1_2	54.803425665712
1_2	55.3150963000953
1_2	56.7212303804699
1_2	57.5899826649111
1_2	58.8327385273296
1_2	59.0127785361838
1_2	60.7245464131702
1_2	61.6768892866094
1_2	62.4683325646911
1_2	63.7889287574217
1_2	64.4070727706421
1_2	65.8352188954595
1_2	66.9152182878461
1_2	67.4060146699194
1_2	68.4636857490987
1_2	69.0033140303567
1_2	70.4419417544268
1_2	71.4795984833036
1_2	72.4184204204939
1_2	73.0085511645302
1_2	74.5414202134125
1_2	75.8445033358876
1_2	76.4961767480709
1_2	77.6950739054009
1_2	78.8171327952296
1_2	79.7364723125938
1_2	80.4852143882308
1_2	81.1623755155597
1_2	82.8832123940811
1_2	83.1564472881146
1_2	84.6888462528586
1_2	85.9853480467573
1_2	86.9590321490541
1_2	87.8007977362722
1_2	88.4492011081893
1_2	89.9922776711173
1_2	90.5096056936309
1_2	91.6028131584171
1_2	92.189467783086
1_2	93.6571136089042
1_2	94.7345868072007
1_2	95.5579674181063
1_2	96.0859148970339
1_2	97.7798544839025
1_2	98.9560469868593
1_2	99.8599191943649
1_2	100.093780257041
1_2	101.290719996672
1_2	102.746259673964
1_2	103.283545898506
1_2	104.570944960695
1_2	105.824336681981
1_2	106.374569826061
1_2	107.580809167121
1_2	108.236395166721
1_2	109.935271941824
1_2	110.305472681066
1_2	111.700773538323
1_2	112.054331633262
1_2	113.750138394069
1_2	114.030689323088
1_2	115.429860424949
1_2	116.591101416852
1_2	117.004367425106
1_2	118.716295775492
1_2	119.952987636672
1_2	120.560293119634
1_2	121.697688355111
1_2	122.822341201361
1_2	123.97708246042
1_2	124.126626722747
1_2	125.505801653489
1_2	126.643398361979
1_2	127.293155687163
1_2	128.8045719855
1_2	129.363065263489
1_2	130.143018259434
1_2	131.428514533443
1_2	132.732466779184
1_2	133.884623205056
1_2	134.51388334739
1_2	135.489207468461
1_2	136.436441903235
1_2	137.240836563054
1_2	138.713151974138
1_2	139.159217742737
1_2	140.477460108697
1_2	141.678713015979
1_2	142.363012693124
1_2	143.768190517556
1_2	144.347985411063
1_2	145.798111994984
1_2	146.066849801922
1_2	147.1664188453
1_2	148.372860977426
1_2	149.146718038246
1_2	150.406559484079
1_2	151.89926327602
1_2	152.117927398765
1_2	153.15257697599
2_3	153.471945245517
2_3	154.17217353289
2_3	155.203741385136
2_3	156.246004111599
2_3	157.571949819801
2_3	158.635303933173
2_3	159.1882760101
2_3	160.831473668106
2_3	161.837824080605
2_3	162.843232792802
2_3	163.512904310832
2_3	164.787573714042
2_3	165.883138994453
2_3	166.231940580532
2_3	167.706498498796
2_3	168.418044917984
2_3	169.790290258592
2_3	170.583523810143
2_3	171.662616691086
2_3	173.045721919741
2_3	173.782126948703
2_3	174.406594740925
2_3	175.366171658039
2_3	176.640119444346
2_3	177.39642759948
2_3	178.801682433346
2_3	179.957273279084
2_3	180.389145212714
2_3	181.383621725254
2_3	183.125720026204
2_3	183.197923146421
2_3	184.683655691333
2_3	185.990806295769
2_3	186.761365076294
2_3	187.510748603614
2_3	189.123394683236
2_3	189.281446353532
2_3	190.337905132677
2_3	191.825543857878
2_3	193.057344232453
2_3	193.632950050291
2_3	194.63249754929
2_3	195.156588414218
2_3	197.04903912358
2_3	198.021354986588
2_3	198.527204055339
2_3	199.792191568064
2_3	200.641405865317
2_3	201.518796975026
2_3	202.220557719935
2_3	204.070792882703
2_3	204.785524052102
2_3	205.397736599436
2_3	206.987518252339
2_3	207.473825340159
2_3	208.965366601478
2_3	209.391202513129
2_3	210.460266199196
2_3	211.55085290852
2_3	212.342202931177
2_3	213.948639572132
2_3	214.914783161366
2_3	215.444854294648
2_3	216.906734114746
2_3	218.048975598533
2_3	218.732041631127
2_3	219.289789018221
2_3	220.893576368457
2_3	221.998781313654
2_3	223.041851646965
2_3	223.724145326298
2_3	224.167792062042
2_3	225.275123099564
2_3	227.090911513893
2_3	227.475504812552
2_3	228.868392003234
2_3	229.791821464896
2_3	230.628691775957
2_3	231.327593697235
2_3	232.774989735568
2_3	233.497222229838
2_3	234.643951041857
2_3	235.638924880419
2_3	236.764377786079
2_3	238.063481325284
2_3	239.149712473387
2_3	239.728892256273
2_3	240.400649250252
2_3	241.364621637622
2_3	242.736573267728
2_3	243.701706172666
2_3	244.754665700719
2_3	245.551056799013
2_3	246.492804032052
2_3	247.826070394134
2_3	248.285308938706
2_3	249.505556040676
2_3	250.405408394756
2_3	251.858554541599
2_3	252.647375808563
2_3	254.107738493709
2_3	255.121177789057
2_3	256.062403995544
2_3	256.981484303717
2_3	257.709913915023
2_3	258.312928285915
2_3	260.093413282186
2_3	260.181657316629
2_3	261.351824925514
2_3	262.85713347909
2_3	263.42500518728
2_3	264.596212788718
2_3	265.431017864728
2_3	266.907796657179
2_3	267.56560154655
2_3	268.915417296346
2_3	269.991167382337
2_3	270.973575771553
2_3	271.491144978674
2_3	273.11891227006
2_3	273.920645699836
2_4	153.716840184759
2_4	154.156256271293
2_4	155.662249243818
2_4	156.671926814364
2_4	158.059276442043
2_4	159.143941506976
2_4	159.907823316986
2_4	160.769818780012
2_4	161.534671320114
2_4	162.810742100235
2_4	163.335603046464
2_4	164.61616959353
2_4	165.802643162431
2_4	166.371380875818
2_4	167.329821662977
2_4	168.239587699063
2_4	169.385975640733
2_4	170.968507335521
2_4	171.458896277938
2_4	172.882557399338
2_4	173.718537378823
2_4	174.804274544818
2_4	175.697141394019
2_4	176.533025868703
2_4	177.32027836726
2_4	178.290473581525
2_4	179.361432174919
2_4	180.468592354562
2_4	181.225756060798
2_4	183.031392660923
2_4	183.283858783077
2_4	184.933590365341
2_4	185.451898545492
2_4	186.528369759908
2_4	188.069786838489
2_4	189.017291161465
2_4	189.396332378732
2_4	190.723036150215
2_4	191.822002703091
2_4	192.620117044542
2_4	193.960191094084
2_4	194.592259497847
2_4	195.907185736811
2_4	196.314707500627
2_4	198.120490744477
2_4	198.279482021695
2_4	199.942341998685
2_4	200.254970171256
2_4	201.869863070315
2_4	202.546868063742
2_4	203.734493944095
2_4	204.988991087535
2_4	205.360320743406
2_4	206.616240567761
2_4	207.550920766778
2_4	208.574280917412
2_4	209.446863668505
2_4	210.198607890168
2_4	212.06180513557
2_4	212.168534733588
2_4	213.977610590868
2_4	214.371542507317
2_4	216.014019530732
2_4	216.538880266249
2_4	217.569275358226
2_4	218.90683194669
2_4	220.102644942934
2_4	220.768686547875
2_4	222.11213091691
2_4	222.210698076757
2_4	223.541311847046
2_4	224.443461828865
2_4	225.273599087726
2_4	227.089045998175
2_4	227.564242105233
2_4	228.546122416388
2_4	230.000818398548
2_4	230.268838182325
2_4	232.063275424298
2_4	232.89146758127
2_4	234.042191313813
2_4	234.606621087529
2_4	235.291495443322
2_4	236.524380279705
2_4	237.492855945835
2_4	238.316473427927
2_4	239.989489225205
2_4	241.077914204216
2_4	241.804511496564
2_4	242.266378070461
2_4	244.148920945358
2_4	244.855464043561
2_4	245.374564620201
2_4	247.036161645781
2_4	247.791858552955
2_4	248.948719217442
2_4	249.963975115214
2_4	250.891888474347
2_4	252.082995054312
2_4	252.888093546266
2_4	253.755635002162
2_4	255.07834099629
2_4	255.861997498898
2_4	256.773064940237
2_4	257.968987485627
2_4	258.346934348578
2_4	260.026936611626
2_4	260.400415481534
2_4	261.274487772025
2_4	262.706806574482
2_4	263.201499999501
2_4	264.357228014385
2_4	265.194733643671
2_4	266.66613972839
2_4	268.117295400007
2_4	268.881201008335
2_4	270.14773662365
2_4	270.600895936834
2_4	271.303565406008
2_4	272.306765238754
2_4	273.74021507916
2_4	274.529720759019
2_4	276.044952130411
2_4	277.151791231008
2_4	277.257829266135
2_4	278.40455837897
2_4	279.798312119674
2_4	281.090991690056
2_4	281.480617146473
2_4	282.402020235313
2_4	283.845429832581
2_4	284.571528935106
2_4	285.801085823216
2_4	286.875858432148
2_4	287.920137782581
2_4	289.0255724499
2_4	289.619290240342
2_4	290.890440766001
2_4	291.482769215247
2_4	292.220971647184
2_4	293.883544276236
2_4	294.769731817767
2_4	295.870025562355
2_4	296.287101032678
2_4	297.632967795944
2_4	298.206798445666
2_4	299.211386734387
2_4	300.54277392244
